epoch,step,train/cd_residual_ratio,train/cd_slot_diversity,train/loss_clip_epoch,train/loss_div_epoch,train/loss_epoch,train/loss_kl_epoch,train/loss_l1_epoch,train/loss_lpips_epoch,train/loss_recon_epoch,train/modality_image,val/cd_residual_ratio,val/cd_slot_diversity,val/loss_clip_epoch,val/loss_clip_step,val/loss_div_epoch,val/loss_div_step,val/loss_epoch,val/loss_kl_epoch,val/loss_kl_step,val/loss_l1_epoch,val/loss_l1_step,val/loss_lpips_epoch,val/loss_lpips_step,val/loss_recon_epoch,val/loss_recon_step,val/loss_step,val/modality_image
,0,,,,,,,,,,,,,,0.0,,0.12548828125,,,2.8409707738319412e-05,,0.7976645231246948,,0.841796875,,0.8818930387496948,0.8890563249588013,
,1,,,,,,,,,,,,,,0.0,,0.12451171875,,,2.8384507459122688e-05,,0.7976395487785339,,0.845703125,,0.8823563456535339,0.8905092477798462,
0,0,,,,,,,,,,,1.0022350549697876,0.125,0.0,,0.125,,0.8897827863693237,2.839710759872105e-05,,0.797652006149292,,0.84375,,0.882124662399292,,,1.0
0,0,1.0080291032791138,0.2412109375,0.0,0.2412109375,0.5855984687805176,3.0012655770406127e-05,0.50147944688797,0.8046875,0.58180171251297,1.0,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,0.0,,0.124755859375,,,2.8228150767972693e-05,,0.7979588508605957,,0.845703125,,0.8826756477355957,0.895576000213623,
,3,,,,,,,,,,,,,,0.0,,0.126953125,,,2.837616193573922e-05,,0.7978807091712952,,0.845703125,,0.8825975060462952,0.8964660167694092,
1,1,,,,,,,,,,,1.0021343231201172,0.1258544921875,0.0,,0.1258544921875,,0.8960210084915161,2.8302156351855956e-05,,0.797919750213623,,0.845703125,,0.882636547088623,,,1.0
1,1,1.0075762271881104,0.24169921875,0.0,0.24169921875,0.5786123275756836,3.018196002813056e-05,0.4909939169883728,0.80078125,0.5710720419883728,1.0,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,0.0,,0.125,,,2.8237616788828745e-05,,0.7985607981681824,,0.845703125,,0.8832775950431824,0.9018656015396118,
,5,,,,,,,,,,,,,,0.0,,0.12646484375,,,2.8278782338020392e-05,,0.7985690236091614,,0.845703125,,0.8832858204841614,0.9027817249298096,
2,2,,,,,,,,,,,1.0026837587356567,0.125732421875,0.0,,0.125732421875,,0.9023236632347107,2.825820047291927e-05,,0.7985649108886719,,0.845703125,,0.8832817077636719,,,1.0
2,2,1.0075225830078125,0.2431640625,0.0,0.2431640625,0.5762839913368225,3.017937888216693e-05,0.48435887694358826,0.806640625,0.5651694536209106,1.0,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,0.0,,0.1240234375,,,2.8371563530527055e-05,,0.7982760071754456,,0.841796875,,0.8825045228004456,0.9067078232765198,
,7,,,,,,,,,,,,,,0.0,,0.124267578125,,,2.828415199473966e-05,,0.7981693744659424,,0.84375,,0.8826420307159424,0.9077097177505493,
3,3,,,,,,,,,,,1.0024023056030273,0.1241455078125,0.0,,0.1241455078125,,0.9072087407112122,2.8327856853138655e-05,,0.7982226610183716,,0.8427734375,,0.8825732469558716,,,1.0
3,3,1.0077301263809204,0.2421875,0.0,0.2421875,0.5927181243896484,3.0181283364072442e-05,0.4972132444381714,0.8046875,0.5777796506881714,1.0,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,0.0,,0.12353515625,,,2.8324258892098442e-05,,0.7973240613937378,,0.84375,,0.8817967176437378,0.9110963940620422,
,9,,,,,,,,,,,,,,0.0,,0.123291015625,,,2.828543438226916e-05,,0.797339141368866,,0.84375,,0.881811797618866,0.9119291305541992,
4,4,,,,,,,,,,,1.0024371147155762,0.1234130859375,0.0,,0.1234130859375,,0.9115127325057983,2.83048466371838e-05,,0.7973315715789795,,0.84375,,0.8818042278289795,,,1.0
4,4,1.0077826976776123,0.2421875,0.0,0.2421875,0.5820448398590088,3.0110426450846717e-05,0.484506756067276,0.794921875,0.5638524293899536,1.0,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,0.0,,0.125,,,2.8609960281755775e-05,,0.7974092364311218,,0.841796875,,0.8816377520561218,0.9165294170379639,
,11,,,,,,,,,,,,,,0.0,,0.1240234375,,,2.8356418624753132e-05,,0.7978856563568115,,0.841796875,,0.8821141719818115,0.9177890419960022,
5,5,,,,,,,,,,,1.0026869773864746,0.12451171875,0.0,,0.12451171875,,0.9171592593193054,2.848318763426505e-05,,0.7976474761962891,,0.841796875,,0.8818759918212891,,,1.0
5,5,1.0076241493225098,0.240234375,0.0,0.240234375,0.6064285039901733,3.0403880373341963e-05,0.5040180683135986,0.8046875,0.5843403339385986,1.0,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,0.0,,0.123779296875,,,2.8454927814891562e-05,,0.7977242469787598,,0.841796875,,0.8819527626037598,0.9220002889633179,
,13,,,,,,,,,,,,,,0.0,,0.126953125,,,2.8395334084052593e-05,,0.7978032827377319,,0.83984375,,0.8817876577377319,0.9225887060165405,
6,6,,,,,,,,,,,1.002514362335205,0.1253662109375,0.0,,0.1253662109375,,0.9222944974899292,2.8425130949472077e-05,,0.7977637648582458,,0.8408203125,,0.8818702101707458,,,1.0
6,6,1.0078489780426025,0.2421875,0.0,0.2421875,0.5878058671951294,3.0285005777841434e-05,0.4833219647407532,0.794921875,0.5629118084907532,1.0,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,0.0,,0.1279296875,,,2.8603028113138862e-05,,0.7973318099975586,,0.8359375,,0.8808279037475586,0.9257609844207764,
,15,,,,,,,,,,,,,,0.0,,0.12646484375,,,2.8720136469928548e-05,,0.7982892394065857,,0.841796875,,0.8825177550315857,0.9282234907150269,
7,7,,,,,,,,,,,1.002756953239441,0.127197265625,0.0,,0.127197265625,,0.9269922375679016,2.8661581382039003e-05,,0.7978104948997498,,0.8388671875,,0.8816727995872498,,,1.0
7,7,1.008073091506958,0.24072265625,0.0,0.24072265625,0.6154192090034485,3.0490416975226253e-05,0.5056743621826172,0.8046875,0.5862407684326172,1.0,,,,,,,,,,,,,,,,,
